COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
,,,the one with the red shird,0
,,,kyle is shaking rn,0
,,,very nice. I like the first one. Right?,0
,,,The third one,0
,,,Damn wtf,0
,,,THE CACKLE I JUST LET OUT,0
,,,Beautiful shot!,0
,,,This looks incredible!!,0
,,,am I ugly ?,1
,,,"To anybody who’s reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind right now. May clarity replace confusion. May peace and calmness fill your life",1
,,,Check dm,1
,,,There are kittens starving outside... We make sure they can all eat their fill. A little support from you would have a big impact on the lives of some ❤️,1
,,,Baby West,0
,,,Never to be caught unfresh,0
,,,Check story 💋,1
,,,Check story 💋,1
,,,Dm me🔥,1
,,,C my stroy grls 🌺🔫,1
,,,Like this content? Follow @memelord for more,1
,,,█▓▒▒░░░🆆🅰🅽🅽🅰 🅵🆄🅽💫✨💫✨💫✨💫✨💫✨💫✨💫✨░░░▒▒▓█,1
,,,〖🅲🅷🅴🅲🅺.🅼🆈.🆂🆃🅾︎🆁🆈❤️,1
,,,"God said to share: If you are very rich, with whom should I share? I have a lot of money.",1
,,,💘share,1
,,,Posting daily memes,1
,,,Message me please,1
,,,Dm kro,1
,,,👈👈🅛🅘🅥🅔 🅢.🅔.🅧.🔞🔥,1
,,,👈👈🏻👈🏻👈🏻🅛🅘🅥🅔 🅢.🅔.🅧😘💦,1
,,,*Interested person Contact me on WhatsApp*,1
,,,*I need 6 active person for online work it's 💯💯 real not fake*,1
,,,Follow me,1
,,,I need 30 active members for a project. Vedra will be available in dollar daily. Whatsapp👉03118548317,1
,,,Follow me,1
,,,Check my profile it's amazing surprise for you 🎉🎉🎉✅✅✅🎁,1
,,,👈👈🅛🅘🅥🅔 🅢.🅔.🅧😉😘,1
,,,"https://chat.whatsapp.com/HYyTvwv8ctE9QYEC5NBROI
Peace, mercy and blessings be upon you.
🤝💕 Free beautician course for dear sisters
Share this link as much as you can so that many poor sisters who cannot pay the course fees. Those sisters who share this can tell me in a personal message. Jazakum Khaira Kasheera 💞",1
,,,👈🅛🅘🅥🅔 🅢.🅔.🅧 🔥,1
,,,❤️Follow my profile❤️,1
,,,"🔴 2K to you daily.. TO.. If you want to make 5K profit 🤑 in a very simple way, check this Telegram group 110% real fast 🤑👇👇
https://t.me/earningtips0012",1
,,,Come follow us ..Join us ..follow my account guyzzzz,1
,,,"For more funny meme, Follow me ‼️🤭",1
,,,Follow me 😢😢😢😢,1
,,,"My memes are very dirty, don't look at them otherwise",1
